frames,millis,radial,angular
0,0,0,0
1,257.80000002123415,0,0
2,273.56499992311,0,0
3,291.20999993756413,0,0
4,308.5450000362471,0,0
5,323.66500003263354,0,0
6,340.349999954924,0,0
7,359.1099999612197,0,0
8,374.1799999261275,0,0
9,389.9299999466166,0,0
10,406.8299999926239,0,0
11,422.59999993257225,0,0
12,441.08000001870096,0,0
13,457.3300000047311,0,0
14,475.8099999744445,0,0
15,491.30500003229827,0,0
16,505.754999932833,0,0
17,523.5399999655783,0,0
18,540.2750000357628,0,0
19,557.8349999850616,0,0
20,573.1300000334159,0,0
21,589.6749999374151,0,0
22,605.7299999520183,0,0
23,623.9650000352412,0,0
24,640.5650000087917,0,0
25,655.7099999627098,0,0
26,674.0149999968708,0,0
27,689.8550000041723,0,0
28,705.6099999463186,0,0
29,724.0699999965727,0,0
30,740.9249999327585,0,0
31,757.3749999282882,0,0
32,773.3000000007451,0,0
33,790.6799999764189,0,0
34,806.3949999632314,0,0
35,824.0049999440089,0,0
36,839.090000023134,0,0
37,859.7949999384582,0,0
38,873.9249999634922,23.706539182259394,-0.4825132950224769
39,891.8950000079349,22.825424421026653,-0.5028432109278609
40,906.6299999831244,57.4543296888929,-0.5493744847715509
41,924.0999999456108,69.06518659932803,-0.6000502134017536
42,940.2149999514222,71.61005515987263,-0.6267429012110469
43,956.0699999565259,61.61168720299745,-0.6240230529767569
44,974.2499999701977,54.405882034941776,-0.628796286415433
45,991.2599999224767,46.61544808322666,-0.6177557255662326
46,1006.3349999254569,19.4164878389476,-0.6022873461349642
47,1022.6499999407679,0,0
48,1040.114999981597,0,0
49,1056.5199999837205,0,0
50,1072.3500000312924,0,0
51,1090.5799999600276,0,0
52,1105.8000000193715,0,0
53,1123.90999996569,0,0
54,1140.4349999502301,0,0
55,1157.3949999874458,0,0
56,1172.4750000284985,0,0
57,1190.3999999631196,0,0
58,1206.1499999836087,0,0
59,1223.6000000266358,0,0
60,1239.9900000309572,0,0
61,1256.9499999517575,0,0
62,1274.5649999706075,6.4031242374328485,0.6747409422235527
63,1289.9500000057742,13.038404810405298,-0.5667292175235064
64,1306.6000000108033,13.038404810405298,-0.5667292175235064
65,1322.7649999316782,8.06225774829855,-0.5191461142465229
66,1340.6849999446422,5.830951894845301,-0.5404195002705842
67,1357.3499999474734,1,0
68,1374.394999933429,1,0
69,1391.2850000197068,0,0
70,1407.0899999933317,0,0
71,1424.239999963902,0,0
72,1439.8899999214336,1,0
73,1456.1799999792129,0,0
74,1473.4999999636784,0,0
75,1490.6199999386445,0,0
76,1507.4000000022352,0,0
77,1524.4650000240654,0,0
78,1540.0799999479204,0,0
79,1557.329999981448,1,0
80,1574.0649999352172,0,0
81,1590.5100000090897,0,0
82,1606.474999920465,0,0
83,1627.0149999763817,0,0
84,1640.2349999407306,0,0
85,1657.814999925904,0,0
86,1673.270000028424,0,0
87,1690.6249999301508,0,0
88,1705.989999929443,0,0
89,1724.4550000177696,0,0
90,1740.9699999261647,0,0
91,1757.2350000264123,0,0
92,1774.0849999245256,0,0
93,1791.0050000064075,1,0
94,1808.6350000230595,28.653097563788805,-0.5104883219167758
95,1824.2750000208616,37.44329045369811,-0.5954098754787326
96,1840.085000032559,25.612496949731394,-0.6747409422235527
97,1857.5699999928474,32.449961479175904,-0.5880026035475675
98,1873.9499999210238,44.40720662234904,-0.625485040239229
99,1891.0850000102073,32.202484376209235,-0.6310793874713292
100,1908.2349999807775,25.238858928247925,-0.5880026035475675
101,1925.0999999931082,27.202941017470888,-0.628796286415433
102,1940.4149999609217,11.661903789690601,-0.5404195002705842
103,1958.3400000119582,12.083045973594572,-0.4266274931268761
104,1974.2899999255314,9.486832980505138,-0.3217505543966422
105,1989.949999959208,6.708203932499369,-0.4636476090008061
106,2007.4099999619648,9.486832980505138,-0.3217505543966422
107,2025.6749999243766,6.4031242374328485,-0.6747409422235527
108,2041.414999985136,8.602325267042627,-0.6202494859828215
109,2058.214999968186,10.816653826391969,-0.5880026035475675
110,2072.5799999199808,17.804493814764857,-0.6659692373791098
111,2090.074999956414,21.095023109728988,-0.5485494024505281
112,2106.915000011213,25,-0.6435011087932844
113,2124.669999931939,32.202484376209235,-0.6310793874713292
114,2140.544999972917,24.20743687382041,-0.668289418830584
115,2157.7899999683723,20.615528128088304,-0.6823165548747481
116,2174.890000023879,15.811388300841896,-0.6055446636049701
117,2190.5600000172853,13.038404810405298,-0.5667292175235064
118,2206.209999974817,10.816653826391969,-0.5880026035475675
119,2223.4499999321997,17.029386365926403,-0.702256931509007
120,2240.489999996498,5.656854249492381,-0.7853981633974483
121,2256.999999983236,6.4031242374328485,-0.6747409422235527
122,2272.984999930486,5,-0.6435011087932844
123,2290.6749999383464,6.4031242374328485,-0.6747409422235527
124,2307.1800000034273,4.47213595499958,-0.4636476090008061
125,2324.159999960102,10,-0.6435011087932844
126,2340.914999949746,6.4031242374328485,-0.6747409422235527
127,2357.1549999760464,7.810249675906654,-0.6947382761967033
128,2374.154999968596,13.601470508735444,-0.628796286415433
129,2390.5399999348447,19.72308292331602,-0.5317240672588056
130,2407.9849999397993,18.35755975068582,-0.5123894603107377
131,2423.439999925904,26.076809620810597,-0.5667292175235064
132,2440.5249999836087,25.553864678361276,-0.5337081916392615
133,2457.6399999205023,23.853720883753127,-0.5763752205911837
134,2474.8599999584258,20.591260281974,-0.507098504392337
135,2491.6250000242144,10.816653826391969,-0.5880026035475675
136,2506.0199999716133,13.416407864998739,-0.4636476090008061
137,2524.1949999472126,8.94427190999916,-0.4636476090008061
138,2539.4599999999627,7.615773105863909,-0.4048917862850834
139,2557.524999952875,5.385164807134504,-0.3805063771123649
140,2573.1399999931455,5.385164807134504,-0.3805063771123649
141,2591.4300000295043,5.0990195135927845,-0.19739555984988078
142,2607.289999956265,2.23606797749979,-0.4636476090008061
143,2624.154999968596,3,0
144,2640.7149999868125,5.0990195135927845,-0.19739555984988078
145,2657.8900000313297,5.0990195135927845,-0.19739555984988078
146,2673.190000001341,5.0990195135927845,-0.19739555984988078
147,2689.494999940507,5.385164807134504,-0.3805063771123649
148,2707.73000002373,5.385164807134504,-0.3805063771123649
149,2724.1800000192598,5.830951894845301,-0.5404195002705842
150,2740.114999935031,7.810249675906654,-0.6947382761967033
151,2756.8350000074133,5.830951894845301,-0.5404195002705842
152,2774.4800000218675,11.180339887498949,-0.4636476090008061
153,2790.834999992512,4.47213595499958,-0.4636476090008061
154,2805.809999932535,4.123105625617661,-0.24497866312686414
155,2824.339999933727,2.23606797749979,-0.4636476090008061
156,2840.529999928549,2.23606797749979,-0.4636476090008061
157,2856.015000026673,2.23606797749979,-0.4636476090008061
158,2874.169999966398,1,0
159,2890.874999924563,1,0
160,2907.649999950081,0,0
161,2922.6550000021234,0,0
162,2940.7699999865144,1,0
163,2956.690000020899,2.8284271247461903,-0.7853981633974483
164,2974.324999959208,3.605551275463989,-0.982793723247329
165,2991.429999936372,8.06225774829855,-1.0516502125483738
166,3007.8499999362975,10.63014581273465,-0.851966327173272
167,3022.830000030808,15,-0.9272952180016122
168,3039.894999936223,19.209372712298546,-0.8960553845713439
169,3057.825000025332,21.93171219946131,-0.8176450458327023
170,3072.730000014417,38.28837943815329,-0.711459125739508
171,3090.375000028871,21.2602916254693,-0.7188299996216245
172,3107.4299999745563,27.80287754891569,-0.65788860518221
173,3122.8399999672547,25.612496949731394,-0.6747409422235527
174,3140.8799999626353,45.45327270945405,-0.6919213822388589
175,3157.2949999244884,38.8329756778952,-0.6022873461349642
176,3172.619999968447,53.009433122794285,-0.6246354227716135
177,3190.539999981411,38.8329756778952,-0.6022873461349642
178,3206.1749999411404,43.56604182158393,-0.556166230120453
179,3223.7650000024587,42.20189569201838,-0.6340227196634222
180,3242.0599999604747,48.41487374764082,-0.668289418830584
181,3255.944999982603,45.34313619501854,-0.722979353401491
182,3274.0800000028685,32.55764119219941,-0.7419472680059175
183,3289.92000001017,34.828149534535996,-0.6837093116343712
184,3306.4399999566376,30.610455730027933,-0.6696389456766376
185,3324.4149999227375,25.612496949731394,-0.6747409422235527
186,3340.375000028871,35.608987629529715,-0.6659692373791098
187,3357.7949999598786,14.212670403551895,-0.6857295109062863
188,3373.974999994971,15.811388300841896,-0.6055446636049701
189,3390.6349999597296,10,-0.6435011087932844
190,3407.634999952279,6.708203932499369,-0.4636476090008061
191,3422.759999986738,10.295630140987,-0.507098504392337
192,3441.2049999227747,8.06225774829855,-0.5191461142465229
193,3457.2949999710545,9.433981132056603,-0.5585993153435624
194,3474.7499999357387,7.280109889280518,-0.27829965900511133
195,3490.8000000286847,6.324555320336759,-0.3217505543966422
196,3507.370000006631,4.47213595499958,-0.4636476090008061
197,3524.130000034347,4.123105625617661,-0.24497866312686414
198,3540.144999977201,3.1622776601683795,-0.3217505543966422
199,3556.2999999383464,2.23606797749979,-0.4636476090008061
200,3574.5099999476224,3,0
201,3590.8800000324845,4,0
202,3607.4099999386817,2,0
203,3624.6350000146776,3,0
204,3640.8149999333546,1,0
205,3657.7200000174344,2,0
206,3672.870000009425,5.0990195135927845,0.19739555984988078
207,3690.7199999550357,8.06225774829855,0.12435499454676144
208,3707.410000031814,9,0
209,3724.240000010468,21.02379604162864,0.047583103276983396
210,3740.540000027977,9.055385138137417,0.11065722117389563
211,3756.694999989122,8,0
212,3774.2050000233576,4.123105625617661,0.24497866312686414
213,3790.8250000327826,3.1622776601683795,0.3217505543966422
214,3805.949999950826,2.23606797749979,0.4636476090008061
215,3823.2099999440834,2.8284271247461903,0.7853981633974483
216,3841.000000014901,2,0
217,3857.549999956973,2.23606797749979,0.4636476090008061
218,3873.3500000089407,1.4142135623730951,0.7853981633974483
219,3889.5649999612942,0,0
220,3907.0999999530613,1,0
221,3924.2899999953806,0,0
222,3941.660000011325,1,0
223,3957.53999997396,0,0
224,3973.9449999760836,2.23606797749979,-0.4636476090008061
225,3989.4700000295416,7.211102550927978,-0.5880026035475675
226,4007.630000007339,16.1245154965971,-0.5191461142465229
227,4023.9450000226498,22.20360331117452,-0.625485040239229
228,4041.039999923669,23.853720883753127,-0.5763752205911837
229,4057.395000010729,23.853720883753127,-0.5763752205911837
230,4073.2350000180304,23.853720883753127,-0.5763752205911837
231,4090.8549999585375,24.186773244895647,-0.5191461142465229
232,4106.254999991506,30.01666203960727,-0.5232783221319754
233,4123.6949999583885,20.591260281974,-0.507098504392337
234,4141.564999939874,18.027756377319946,-0.5880026035475675
235,4157.630000030622,20,-0.6435011087932844
236,4174.29999995511,19.849433241279208,-0.714090698612158
237,4189.369999920018,16.97056274847714,-0.7853981633974483
238,4206.0899999924,17.029386365926403,-0.702256931509007
239,4224.199999938719,19.209372712298546,-0.6747409422235527
240,4239.990000030957,30.479501308256342,-0.7157435896688801
241,4256.264999974519,21.213203435596427,-0.7853981633974483
242,4274.169999989681,26.1725046566048,-0.7583777142101835
243,4290.889999945648,37.64306044943742,-0.691336928769462
244,4305.915000033565,26.248809496813376,-0.7044940642422177
245,4322.524999966845,23.600847442411894,-0.6350267353903137
246,4340.749999973923,22.02271554554524,-0.6889243882148613
247,4357.349999947473,18.027756377319946,-0.5880026035475675
248,4372.619999921881,12.806248474865697,-0.6747409422235527
249,4391.094999969937,10.816653826391969,-0.5880026035475675
250,4407.649999950081,8.602325267042627,-0.6202494859828215
251,4424.1649999748915,8.94427190999916,-0.4636476090008061
252,4440.904999966733,10.816653826391969,-0.5880026035475675
253,4457.4049999937415,10.295630140987,-0.507098504392337
254,4474.270000006072,18.35755975068582,-0.5123894603107377
255,4491.775000002235,12.529964086141668,-0.49934672168013006
256,4507.190000033006,11.661903789690601,-0.5404195002705842
257,4525.254999985918,13.416407864998739,-0.4636476090008061
258,4542.559999972582,16.64331697709324,-0.5713374798336268
259,4557.299999985844,18.027756377319946,-0.5880026035475675
260,4574.179999995977,17.4928556845359,-0.5404195002705842
261,4590.844999998808,13.038404810405298,-0.5667292175235064
262,4607.495000003837,9.433981132056603,-0.5585993153435624
263,4623.054999974556,13.416407864998739,-0.4636476090008061
264,4640.969999949448,8.94427190999916,-0.4636476090008061
265,4657.514999969862,11.661903789690601,-0.5404195002705842
266,4673.714999924414,8.94427190999916,-0.4636476090008061
267,4690.249999985099,3.605551275463989,-0.5880026035475675
268,4706.069999956526,2.8284271247461903,-0.7853981633974483
269,4723.110000020824,2.23606797749979,-0.4636476090008061
270,4739.809999940917,5.830951894845301,-0.5404195002705842
271,4758.144999970682,4.47213595499958,-0.4636476090008061
272,4774.3049999699,6.082762530298219,-0.16514867741462683
273,4789.334999979474,4.47213595499958,-0.4636476090008061
274,4807.474999921396,4.123105625617661,-0.24497866312686414
275,4824.4149999227375,7.280109889280518,-0.27829965900511133
276,4841.374999959953,20.12461179749811,-0.4636476090008061
277,4856.915000011213,10.770329614269007,-0.3805063771123649
278,4873.520000022836,9.848857801796104,-0.41822432957922906
279,4891.234999988228,4.123105625617661,-0.24497866312686414
280,4908.174999989569,4.123105625617661,-0.24497866312686414
281,4922.819999977946,3.1622776601683795,-0.3217505543966422
282,4939.174999948591,3,0
283,4957.880000001751,3.1622776601683795,-0.3217505543966422
284,4974.715000018477,3.1622776601683795,-0.3217505543966422
285,4989.7600000258535,1,0
286,5006.1599999899045,0,0
287,5024.390000035055,1,0
288,5039.174999925308,0,0
289,5055.89499999769,0,0
290,5072.69499998074,0,0
291,5090.989999938756,2,0
292,5107.30000003241,3.1622776601683795,-0.3217505543966422
293,5123.874999932013,9.433981132056603,-0.5585993153435624
294,5140.980000025593,20.615528128088304,-0.3985224456664202
295,5157.6399999903515,21.95449840010015,-0.5247957716501074
296,5173.989999922924,21.95449840010015,-0.5247957716501074
297,5190.979999955744,25.553864678361276,-0.5337081916392615
298,5206.36499999091,41.617304093369626,-0.6146629519221656
299,5223.8199999555945,67.20119046564577,-0.6375487981386927
300,5240.690000005998,69.81403870282824,-0.6635557263775311
301,5257.794999983162,48.60041152089147,-0.6393859056861729
302,5273.799999966286,37.8021163428716,-0.6540827244143603
303,5290.515000000596,46.22769732530488,-0.6781193077490456
304,5307.249999954365,40,-0.6435011087932844
305,5324.000000022352,54.817880294662984,-0.6690429981905734
306,5341.1700000287965,39.824615503479755,-0.6786624907483126
307,5357.454999932088,44.204072210600685,-0.6570749357116535
308,5373.479999951087,32.01562118716424,-0.6747409422235527
309,5389.729999937117,25.238858928247925,-0.5880026035475675
310,5407.524999929592,22.02271554554524,-0.6889243882148613
311,5424.379999982193,29.206163733020468,-0.6640461628266846
312,5440.225000027567,16.401219466856727,-0.6556956262415362
313,5458.1100000068545,9.219544457292887,-0.7086262721276703
314,5474.440000019968,6.4031242374328485,-0.6747409422235527
315,5490.845000022091,10,-0.6435011087932844
316,5506.225000019185,11.180339887498949,-0.4636476090008061
317,5524.710000026971,18.35755975068582,-0.5123894603107377
318,5539.4999999552965,11.180339887498949,-0.4636476090008061
319,5557.739999960177,10.770329614269007,-0.3805063771123649
320,5574.454999994487,9.848857801796104,-0.41822432957922906
321,5589.380000019446,8.54400374531753,-0.3587706702705722
322,5607.45999997016,15.811388300841896,-0.3217505543966422
323,5626.189999980852,8.246211251235321,-0.24497866312686414
324,5640.019999933429,8.06225774829855,-0.12435499454676144
325,5656.0499999905005,5.0990195135927845,-0.19739555984988078
326,5674.029999994673,3.1622776601683795,-0.3217505543966422
327,5690.7000000355765,2,0
328,5706.56500000041,2,0
329,5724.010000005364,3,0
330,5741.274999920279,5,0
331,5757.600000011735,4,0
332,5773.144999984652,3,0
333,5791.259999969043,3,0
334,5806.860000011511,2.23606797749979,0.4636476090008061
335,5822.8249999228865,2.23606797749979,0.4636476090008061
336,5839.61000002455,2,0
337,5856.544999987818,2.23606797749979,1.1071487177940904
338,5872.864999924786,1,0
339,5889.390000025742,0,0
340,5907.5849999208,1,0
341,5923.854999942705,0,0
342,5940.6749999616295,0,0
343,5956.92499994766,5.385164807134504,-0.3805063771123649
344,5972.949999966659,8.06225774829855,-0.5191461142465229
345,5990.334999980405,22.135943621178654,-0.3217505543966422
346,6005.774999968708,20.8806130178211,-0.2914567944778671
347,6023.82999996189,24.351591323771842,-0.3347368373168147
348,6039.639999973588,28.792360097775937,-0.3547056520109403
349,6056.499999947846,34.92849839314596,-0.4124104415973873
350,6072.679999982938,29.546573405388315,-0.41822432957922906
351,6091.379999998026,28.635642126552707,-0.4324077755705379
352,6107.949999975972,42.04759208325728,-0.4423742229767449
353,6123.589999973774,38.948684188300895,-0.5095922648089258
354,6140.445000026375,47.16990566028302,-0.5585993153435624
355,6157.284999964759,49.64876634922564,-0.5991753229863068
356,6174.0650000283495,53.907327887774215,-0.7066142024083045
357,6190.730000031181,74.41102068914255,-0.7188299996216245
358,6205.874999985099,29.068883707497267,-0.712357598094329
359,6222.829999984242,33.60059523282288,-0.6375487981386927
360,6240.690000005998,24.698178070456937,-0.5543074962015513
361,6256.809999933466,18.867962264113206,-0.5585993153435624
362,6274.525000015274,17.804493814764857,-0.6659692373791098
363,6291.160000022501,21.2602916254693,-0.7188299996216245
364,6307.26000003051,14.212670403551895,-0.6857295109062863
365,6324.384999927133,11.40175425099138,-0.6610431688506868
366,6339.68500001356,8.602325267042627,-0.6202494859828215
367,6357.30999999214,6.708203932499369,-0.4636476090008061
368,6374.145000008866,15.264337522473747,-0.5516549825285469
369,6389.680000022054,8.602325267042627,-0.6202494859828215
370,6407.359999953769,8.602325267042627,-0.6202494859828215
371,6424.185000010766,14.422205101855956,-0.5880026035475675
372,6440.884999930859,12.041594578792296,-0.7266423406817256
373,6457.18999998644,10,-0.6435011087932844
374,6473.890000022948,22.02271554554524,-0.6889243882148613
375,6489.3450000090525,16.401219466856727,-0.6556956262415362
376,6507.129999925382,25.495097567963924,-0.7298996581517315
377,6522.860000026412,24.839484696748443,-0.6998928697192437
378,6540.589999989606,34.828149534535996,-0.6837093116343712
379,6556.634999928065,8.48528137423857,-0.7853981633974483
380,6573.755000019446,9.219544457292887,-0.7086262721276703
381,6589.704999933019,5,-0.6435011087932844
382,6607.704999973066,2.23606797749979,-0.4636476090008061
383,6624.2899999488145,1.4142135623730951,-0.7853981633974483
384,6641.3099999772385,1.4142135623730951,-0.7853981633974483
385,6657.594999996945,1,0
386,6674.179999972694,1,0
387,6689.899999997579,0,0
388,6705.865000025369,0,0
389,6722.665000008419,0,0
390,6740.909999934956,0,0
391,6757.609999971464,1,0
392,6774.229999980889,2.23606797749979,-0.4636476090008061
393,6790.339999948628,6.708203932499369,-1.1071487177940904
394,6807.234999956563,5,-0.9272952180016122
395,6824.204999953508,7.211102550927978,-0.982793723247329
396,6840.014999965206,4.242640687119285,-0.7853981633974483
397,6856.129999971017,5,-0.6435011087932844
398,6874.334999942221,13,-0.39479111969976155
399,6890.844999928959,20.248456731316587,-0.35299038782691045
400,6906.089999945834,15.811388300841896,-0.3217505543966422
401,6924.664999940433,27.202941017470888,-0.2984989315861793
402,6940.219999989495,32.31098884280702,-0.3805063771123649
403,6959.685000008903,31.016124838541646,-0.3625442372645076
404,6974.184999940917,60.83584469702052,-0.4415923623072912
405,6990.114999935031,71.58910531638176,-0.4324077755705379
406,7007.609999971464,41.6293165929973,-0.420663349133035
407,7024.124999996275,38.91015291668744,-0.4521538622857756
408,7041.3799999514595,26.419689627245813,-0.5144513130590277
409,7057.734999922104,20.248456731316587,-0.5743048301747018
410,7073.964999988675,23.853720883753127,-0.5763752205911837
411,7090.955000021495,42.20189569201838,-0.6340227196634222
412,7107.770000002347,40.607881008493905,-0.6632029927060933
413,7124.124999972992,47.634021455258214,-0.681298225287849
414,7140.654999995604,36.235341863986875,-0.6876712560387296
415,7157.669999985956,35.38361202590826,-0.7454194762741583
416,7172.7549999486655,46.09772228646444,-0.7086262721276703
417,7190.805000020191,25.45584412271571,-0.7853981633974483
418,7206.795000005513,31.89043743820395,-0.7188299996216245
419,7224.854999920353,29.068883707497267,-0.712357598094329
420,7241.40499997884,12.806248474865697,-0.6747409422235527
421,7257.954999920912,20.615528128088304,-0.6823165548747481
422,7273.249999969266,14.212670403551895,-0.6857295109062863
423,7290.580000029877,15.811388300841896,-0.6055446636049701
424,7307.204999960959,17.029386365926403,-0.702256931509007
425,7323.974999948405,11.661903789690601,-0.5404195002705842
426,7339.024999993853,5.830951894845301,-0.5404195002705842
427,7357.435000012629,3.605551275463989,-0.5880026035475675
428,7374.324999982491,3.1622776601683795,-0.3217505543966422
429,7390.814999933355,2.23606797749979,-0.4636476090008061
430,7407.024999964051,3,0
431,7422.759999986738,2,0
432,7439.5699999295175,1,0
433,7457.4899999424815,1,0
434,7473.310000030324,0,0
435,7490.579999983311,0,0
436,7507.209999952465,0,0
437,7523.889999953099,1,0
438,7539.374999934807,0,0
439,7556.7400000290945,1.4142135623730951,-0.7853981633974483
440,7572.659999947064,3.605551275463989,-0.5880026035475675
441,7590.23500001058,5.385164807134504,-0.3805063771123649
442,7605.959999957122,6.708203932499369,-0.4636476090008061
443,7624.169999966398,10.295630140987,-0.507098504392337
444,7640.419999952428,15.652475842498529,-0.4636476090008061
445,7656.919999979436,30.870698080866262,-0.4346702151492448
446,7672.989999991842,37.12142238654117,-0.4756952188549921
447,7690.969999996014,50.53711507397311,-0.4724969355170638
448,7708.615000010468,32.64965543462902,-0.4773453823736719
449,7723.984999931417,29.154759474226502,-0.5404195002705842
450,7739.195000031032,28.0178514522438,-0.6078019961139605
451,7757.224999950267,30,-0.6435011087932844
452,7774.280000012368,28.42534080710379,-0.6857295109062863
453,7790.294999955222,26.40075756488817,-0.6510767214444797
454,7807.939999969676,22.80350850198276,-0.6610431688506868
455,7822.395000024699,18.027756377319946,-0.5880026035475675
456,7840.989999938756,18.439088914585774,-0.7086262721276703
457,7856.004999950528,20,-0.6435011087932844
458,7873.959999997169,22.02271554554524,-0.6889243882148613
459,7890.320000005886,38.600518131237564,-0.6383198080090458
460,7907.125000027008,24.20743687382041,-0.668289418830584
461,7924.274999997579,21.633307652783937,-0.5880026035475675
462,7940.494999988005,18.027756377319946,-0.5880026035475675
463,7956.524999928661,9.848857801796104,-0.41822432957922906
464,7974.069999996573,11.661903789690601,-0.5404195002705842
465,7992.324999999255,13.416407864998739,-0.4636476090008061
466,8009.004999999888,10,-0.6435011087932844
467,8024.3049999699,7.211102550927978,-0.5880026035475675
468,8041.145000024699,10,-0.6435011087932844
469,8056.144999922253,9.219544457292887,-0.7086262721276703
470,8073.789999936707,8.48528137423857,-0.7853981633974483
471,8090.579999960028,4.242640687119285,-0.7853981633974483
472,8107.079999987036,7.0710678118654755,-0.7853981633974483
473,8124.629999976605,11.40175425099138,-0.6610431688506868
474,8140.149999991991,17.804493814764857,-0.6659692373791098
475,8157.430000021122,20.808652046684813,-0.6146629519221656
476,8174.884999985807,26.419689627245813,-0.5144513130590277
477,8190.889999968931,28.653097563788805,-0.5104883219167758
478,8206.92499994766,27.784887978899608,-0.5280744484263598
479,8226.239999989048,16.401219466856727,-0.6556956262415362
480,8240.809999988414,18.027756377319946,-0.5880026035475675
481,8256.904999958351,4.242640687119285,-0.7853981633974483
482,8273.500000010245,2.23606797749979,-1.1071487177940904
483,8290.569999953732,1,0
484,8305.939999991097,1,0
485,8323.25499993749,1,0
486,8339.259999920614,0,0
487,8357.919999980368,0,0
488,8373.260000022128,0,0
489,8391.04999997653,0,0
490,8406.519999960437,0,0
491,8423.944999929518,0,0
492,8440.509999985807,0,0
493,8455.784999998286,0,0
494,8472.599999979138,1.4142135623730951,-0.7853981633974483
495,8490.51499995403,0,0
496,8507.299999939278,0,0
497,8523.95499998238,0,0
498,8540.915000019595,0,0
499,8557.264999952167,0,0
500,8572.644999949262,0,0
501,8589.13500001654,0,0
502,8606.870000017807,0,0
503,8622.93499999214,0,0
504,8640.374999959022,1,0
505,8657.77499997057,1.4142135623730951,-0.7853981633974483
506,8672.569999936968,1.4142135623730951,-0.7853981633974483
507,8690.709999995306,1,0
508,8707.850000006147,2.23606797749979,-0.4636476090008061
509,8724.165000021458,9.848857801796104,-0.41822432957922906
510,8739.289999939501,30.463092423455635,-0.4048917862850834
511,8757.839999976568,26,-0.39479111969976155
512,8774.134999956004,34.0147027033899,-0.4241944079037666
513,8789.434999926016,45.27692569068709,-0.5328438876193887
514,8805.960000026971,38.01315561749642,-0.6171913915403622
515,8824.07999993302,126.21014222319853,-0.6561787179913949
516,8840.190000017174,63.60031446463138,-0.6403564650708428
517,8856.064999941736,48.010415536631214,-0.6226707887570673
518,8874.519999953918,51.61395160225576,-0.6202494859828215
519,8891.644999966957,42.20189569201838,-0.6340227196634222
520,8907.305000000633,33.60059523282288,-0.6375487981386927
521,8923.734999960288,31.622776601683793,-0.6055446636049701
522,8941.454999963753,38.8329756778952,-0.6022873461349642
523,8956.9050000282,28.844410203711913,-0.5880026035475675
524,8974.25500000827,13.601470508735444,-0.628796286415433
525,8990.5049999943,12.206555615733702,-0.6107259643892086
526,9007.254999945872,11.40175425099138,-0.6610431688506868
527,9024.14500003215,7.810249675906654,-0.6947382761967033
528,9041.100000031292,5.656854249492381,-0.7853981633974483
529,9057.204999960959,5.830951894845301,-0.5404195002705842
530,9074.06999997329,5,-0.6435011087932844
531,9089.329999987967,3.605551275463989,-0.5880026035475675
532,9106.90999997314,3.1622776601683795,-0.3217505543966422
533,9124.519999953918,4.47213595499958,-0.4636476090008061
534,9140.694999950938,3.605551275463989,-0.5880026035475675
535,9157.62499999255,2.23606797749979,-0.4636476090008061
536,9173.184999963269,3.1622776601683795,-0.3217505543966422
537,9190.635000006296,2.23606797749979,-0.4636476090008061
538,9207.279999973252,2.8284271247461903,-0.7853981633974483
539,9223.63000002224,2,0
540,9241.894999984652,0,0
541,9255.669999984093,0,0
542,9272.284999955446,0,0
